Species;SampleID;Ind;Rep;conidL;conidW;conidiophL;conidiophW;conidA;PictureID
Ftrich;UZ_4.22(1)_R101;41;R1;3,57;1,642;11,583;1,74;4,997;UZ_4.22(1)_R1_100x_001
Ftrich;UZ_4.22(1)_R102;41;R1;3,63;2,176;13,992;1,641;6,07;UZ_4.22(1)_R1_100x_001
Ftrich;UZ_4.22(1)_R103;41;R1;3,362;1,655;14,87;1,421;5,085;UZ_4.22(1)_R1_100x_002
Ftrich;UZ_4.22(1)_R104;41;R1;3,606;1,881;22,087;1,393;6,289;UZ_4.22(1)_R1_100x_002
Ftrich;UZ_4.22(1)_R105;41;R1;3,547;1,721;11,291;1,328;5,473;UZ_4.22(1)_R1_100x_003
Ftrich;UZ_4.22(1)_R106;41;R1;3,725;1,655;14,046;2,095;5,117;UZ_4.22(1)_R1_100x_004
Ftrich;UZ_4.22(1)_R107;41;R1;4,27;1,859;15,36;1,898;6,429;UZ_4.22(1)_R1_100x_004
Ftrich;UZ_4.22(1)_R108;41;R1;4,189;2,025;15,624;1,256;6,61;UZ_4.22(1)_R1_100x_004
Ftrich;UZ_4.22(1)_R109;41;R1;3,339;2,044;13,709;1,521;5,977;UZ_4.22(1)_R1_100x_005
Ftrich;UZ_4.22(1)_R110;41;R1;4,052;1,856;17,696;1,429;6,185;UZ_4.22(1)_R1_100x_006
Ftrich;UZ_4.22(1)_R201;41;R2;4,102;2,152;19,456;1,471;6,609;UZ_4.22(1)_R2_100x_001_ED
Ftrich;UZ_4.22(1)_R202;41;R2;4,049;1,613;24,76;1,444;5,413;UZ_4.22(1)_R2_100x_001
Ftrich;UZ_4.22(1)_R203;41;R2;3,821;1,985;16,098;1,519;6,265;UZ_4.22(1)_R2_100x_002_ED
Ftrich;UZ_4.22(1)_R204;41;R2;3,607;1,896;16,215;1,416;7,146;UZ_4.22(1)_R2_100x_003
Ftrich;UZ_4.22(1)_R205;41;R2;4,132;1,899;23,413;1,67;6,561;UZ_4.22(1)_R2_100x_004
Ftrich;UZ_4.22(1)_R206;41;R2;4,17;1,942;21,086;1,343;7,166;UZ_4.22(1)_R2_100x_005
Ftrich;UZ_4.22(1)_R207;41;R2;4,853;2,17;13,01;1,71;7,918;UZ_4.22(1)_R2_100x_006
Ftrich;UZ_4.22(1)_R208;41;R2;4,498;1,872;22,427;1,414;7,49;UZ_4.22(1)_R2_100x_007
Ftrich;UZ_4.22(1)_R209;41;R2;3,44;1,679;14,867;1,379;4,873;UZ_4.22(1)_R2_100x_008
Ftrich;UZ_4.22(1)_R210;41;R2;4,03;2,035;12,867;1,512;6,51;UZ_4.22(1)_R2_100x_009
Ftrich;UZ_4.22(1)_R301;41;R3;4,297;2,08;12,526;1,564;6,75;UZ_4.22(1)_R3_100x_001
Ftrich;UZ_4.22(1)_R302;41;R3;5,016;2,263;14,018;1,529;8,71;UZ_4.22(1)_R3_100x_002
Ftrich;UZ_4.22(1)_R303;41;R3;4,47;1,942;16,196;1,774;7,366;UZ_4.22(1)_R3_100x_003
Ftrich;UZ_4.22(1)_R304;41;R3;3,83;2,04;17,339;1,203;6,369;UZ_4.22(1)_R3_100x_003
Ftrich;UZ_4.22(1)_R305;41;R3;3,642;1,986;13,136;1,481;6,181;UZ_4.22(1)_R3_100x_004
Ftrich;UZ_4.22(1)_R306;41;R3;4,13;1,747;15,846;1,57;6,18;UZ_4.22(1)_R3_100x_005
Ftrich;UZ_4.22(1)_R307;41;R3;4,274;1,919;16,476;1,154;7,474;UZ_4.22(1)_R3_100x_006
Ftrich;UZ_4.22(1)_R308;41;R3;4,267;1,895;12,626;1,366;6,197;UZ_4.22(1)_R3_100x_006
Ftrich;UZ_4.22(1)_R309;41;R3;3,787;1,863;15,356;1,573;5,705;UZ_4.22(1)_R3_100x_008
Ftrich;UZ_4.22(1)_R310;41;R3;3,918;1,796;11,926;1,334;5,59;UZ_4.22(1)_R3_100x_008
Flamb;UZ_13.22(5)_R101;135;R1;4,416;2,064;11,911;1,603;6,645;UZ_13.22(5)_R1_100x_001_ED
Flamb;UZ_13.22(5)_R102;135;R1;4,764;2,193;21,491;1,645;7,53;UZ_13.22(5)_R1_100x_002
